,Word,Frequency,percent
250,endorsed,21,0.6525792417650715
252,fight,21,0.6525792417650715
249,hillarys,21,0.6525792417650715
251,come,21,0.6525792417650715
265,donaldtrump,20,0.6215040397762586
272,wrong,20,0.6215040397762586
271,spent,20,0.6215040397762586
270,hit,20,0.6215040397762586
269,tv,20,0.6215040397762586
268,race,20,0.6215040397762586
267,tuesday,20,0.6215040397762586
266,real,20,0.6215040397762586
264,attack,20,0.6215040397762586
263,live,20,0.6215040397762586
262,major,20,0.6215040397762586
261,crazy,20,0.6215040397762586
260,always,20,0.6215040397762586
259,happy,20,0.6215040397762586
258,evening,20,0.6215040397762586
257,every,20,0.6215040397762586
280,next,19,0.5904288377874456
286,mitt,19,0.5904288377874456
284,words,19,0.5904288377874456
283,borders,19,0.5904288377874456
282,times,19,0.5904288377874456
281,border,19,0.5904288377874456
285,nobody,19,0.5904288377874456
279,statement,19,0.5904288377874456
277,coming,19,0.5904288377874456
276,trumps,19,0.5904288377874456
275,dc,19,0.5904288377874456
273,tax,19,0.5904288377874456
274,spending,19,0.5904288377874456
278,united,19,0.5904288377874456
296,hope,18,0.5593536357986327
305,california,18,0.5593536357986327
304,report,18,0.5593536357986327
303,running,18,0.5593536357986327
302,worst,18,0.5593536357986327
301,candidates,18,0.5593536357986327
300,dems,18,0.5593536357986327
299,vp,18,0.5593536357986327
297,joke,18,0.5593536357986327
298,2,18,0.5593536357986327
295,working,18,0.5593536357986327
293,terrible,18,0.5593536357986327
292,dumb,18,0.5593536357986327
291,killed,18,0.5593536357986327
290,away,18,0.5593536357986327
289,fact,18,0.5593536357986327
288,call,18,0.5593536357986327
287,still,18,0.5593536357986327
294,colorado,18,0.5593536357986327
322,radical,17,0.5282784338098198
318,called,17,0.5282784338098198
319,press,17,0.5282784338098198
321,liar,17,0.5282784338098198
316,used,17,0.5282784338098198
323,looks,17,0.5282784338098198
324,fraud,17,0.5282784338098198
325,1,17,0.5282784338098198
326,caucus,17,0.5282784338098198
317,close,17,0.5282784338098198
320,since,17,0.5282784338098198
315,officers,17,0.5282784338098198
310,leadership,17,0.5282784338098198
307,voted,17,0.5282784338098198
308,police,17,0.5282784338098198
309,tremendous,17,0.5282784338098198
314,worse,17,0.5282784338098198
311,heading,17,0.5282784338098198
312,told,17,0.5282784338098198
306,democrats,17,0.5282784338098198
313,anything,17,0.5282784338098198
339,veterans,16,0.4972032318210068
348,usa,16,0.4972032318210068
347,wife,16,0.4972032318210068
346,terrorism,16,0.4972032318210068
345,street,16,0.4972032318210068
344,help,16,0.4972032318210068
343,left,16,0.4972032318210068
342,lie,16,0.4972032318210068
341,fix,16,0.4972032318210068
340,please,16,0.4972032318210068
338,almost,16,0.4972032318210068
336,read,16,0.4972032318210068
335,knows,16,0.4972032318210068
334,home,16,0.4972032318210068
333,truly,16,0.4972032318210068
332,thats,16,0.4972032318210068
331,general,16,0.4972032318210068
330,allowed,16,0.4972032318210068
329,victory,16,0.4972032318210068
328,700,16,0.4972032318210068
337,place,16,0.4972032318210068
327,center,16,0.4972032318210068
360,forget,15,0.4661280298321939
365,lead,15,0.4661280298321939
362,highly,15,0.4661280298321939
363,email,15,0.4661280298321939
364,crime,15,0.4661280298321939
370,canada,15,0.4661280298321939
366,michigan,15,0.4661280298321939
367,went,15,0.4661280298321939
368,open,15,0.4661280298321939
369,congratulations,15,0.4661280298321939
361,woman,15,0.4661280298321939
352,isnt,15,0.4661280298321939
359,incredible,15,0.4661280298321939
353,2016,15,0.4661280298321939
358,low,15,0.4661280298321939
349,four,15,0.4661280298321939
351,policy,15,0.4661280298321939
350,winning,15,0.4661280298321939
354,interest,15,0.4661280298321939
355,nation,15,0.4661280298321939
356,enforcement,15,0.4661280298321939
357,hes,15,0.4661280298321939
396,energy,14,0.435052827843381
390,crowds,14,0.435052827843381
391,family,14,0.435052827843381
392,nasty,14,0.435052827843381
393,increase,14,0.435052827843381
394,politics,14,0.435052827843381
395,foreign,14,0.435052827843381
400,year,14,0.435052827843381
397,trying,14,0.435052827843381
388,hear,14,0.435052827843381
398,long,14,0.435052827843381
399,university,14,0.435052827843381
401,asked,14,0.435052827843381
402,interests,14,0.435052827843381
403,correct,14,0.435052827843381
389,louisiana,14,0.435052827843381
377,rallies,14,0.435052827843381
387,leader,14,0.435052827843381
378,without,14,0.435052827843381
386,pay,14,0.435052827843381
372,families,14,0.435052827843381
373,released,14,0.435052827843381
374,lot,14,0.435052827843381
375,end,14,0.435052827843381
376,needs,14,0.435052827843381
371,iran,14,0.435052827843381
379,interesting,14,0.435052827843381
381,melania,14,0.435052827843381
382,case,14,0.435052827843381
383,conference,14,0.435052827843381
384,message,14,0.435052827843381
385,talking,14,0.435052827843381
380,u,14,0.435052827843381
429,12,13,0.4039776258545681
423,using,13,0.4039776258545681
424,problem,13,0.4039776258545681
425,paid,13,0.4039776258545681
426,reporting,13,0.4039776258545681
427,vets,13,0.4039776258545681
428,happened,13,0.4039776258545681
432,senate,13,0.4039776258545681
430,thousands,13,0.4039776258545681
431,business,13,0.4039776258545681
433,unfair,13,0.4039776258545681
434,establishment,13,0.4039776258545681
435,born,13,0.4039776258545681
421,questions,13,0.4039776258545681
422,everybody,13,0.4039776258545681
420,book,13,0.4039776258545681
408,order,13,0.4039776258545681
410,economy,13,0.4039776258545681
419,agree,13,0.4039776258545681
405,russia,13,0.4039776258545681
406,100,13,0.4039776258545681
407,protect,13,0.4039776258545681
404,become,13,0.4039776258545681
409,politician,13,0.4039776258545681
411,8,13,0.4039776258545681
412,calls,13,0.4039776258545681
413,saturday,13,0.4039776258545681
414,horrible,13,0.4039776258545681
415,prayers,13,0.4039776258545681
416,club,13,0.4039776258545681
417,care,13,0.4039776258545681
418,4,13,0.4039776258545681
458,seen,12,0.3729024238657551
460,already,12,0.3729024238657551
459,save,12,0.3729024238657551
453,saw,12,0.3729024238657551
457,graham,12,0.3729024238657551
456,court,12,0.3729024238657551
455,thing,12,0.3729024238657551
461,anyone,12,0.3729024238657551
469,sc,12,0.3729024238657551
462,desperate,12,0.3729024238657551
463,meet,12,0.3729024238657551
464,ago,12,0.3729024238657551
465,common,12,0.3729024238657551
466,carson,12,0.3729024238657551
467,dead,12,0.3729024238657551
468,lying,12,0.3729024238657551
454,unbelievable,12,0.3729024238657551
444,future,12,0.3729024238657551
452,give,12,0.3729024238657551
442,november,12,0.3729024238657551
451,took,12,0.3729024238657551
437,corrupt,12,0.3729024238657551
438,nafta,12,0.3729024238657551
439,action,12,0.3729024238657551
440,deals,12,0.3729024238657551
441,nomination,12,0.3729024238657551
436,leaders,12,0.3729024238657551
443,behind,12,0.3729024238657551
446,air,12,0.3729024238657551
447,mess,12,0.3729024238657551
448,results,12,0.3729024238657551
449,honored,12,0.3729024238657551
445,high,12,0.3729024238657551
450,gets,12,0.3729024238657551
508,growth,11,0.3418272218769422
513,started,11,0.3418272218769422
512,dollars,11,0.3418272218769422
511,group,11,0.3418272218769422
510,terror,11,0.3418272218769422
509,word,11,0.3418272218769422
505,use,11,0.3418272218769422
507,michael,11,0.3418272218769422
506,television,11,0.3418272218769422
504,tell,11,0.3418272218769422
503,days,11,0.3418272218769422
502,hall,11,0.3418272218769422
