text,is_retweet,time,text_cleaned,slogans,love trumps hate,stronger together,hillary for america,i'm with her,maga,make america great again,america first,Cliton,Trump
"MAKE AMERICA GREAT AGAIN! 
#IACaucus #CaucusForTrump
https://t.co/nU39QHzxxX https://t.co/IrrzLCa2ev",False,2016-01-30T16:29:53,"['make', 'america', 'great', 'again']",['make america great again'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
"I will be in Iowa all day and until Tuesday morning. Finally, after all these years of watching stupidity, we will MAKE AMERICA GREAT AGAIN!",False,2016-01-30T12:38:44,"['i', 'will', 'be', 'in', 'iowa', 'all', 'day', 'and', 'until', 'tuesday', 'morning', 'finally', 'after', 'all', 'these', 'years', 'of', 'watching', 'stupidity', 'we', 'will', 'make', 'america', 'great', 'again']",['make america great again'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
"Heading to Sioux County, Iowa, where the crowd is amazing. Dr. Robert Jeffress will make the introduction. Make America Great Again!",False,2016-01-23T16:50:22,"['heading', 'to', 'sioux', 'county', 'iowa', 'where', 'the', 'crowd', 'is', 'amazing', 'dr', 'robert', 'jeffress', 'will', 'make', 'the', 'introduction', 'make', 'america', 'great', 'again']",['make america great again'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
The failing @NRO National Review Magazine has just been informed by the Republican National Committee that they cannot participate in debate,False,2016-01-22T14:24:15,"['the', 'failing', 'national', 'review', 'magazine', 'has', 'just', 'been', 'informed', 'by', 'the', 'republican', 'national', 'committee', 'that', 'they', 'cannot', 'participate', 'in', 'debate']",['maga'],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1
Make America Great Again! #Trump2016 https://t.co/1h5j4DZDgy,True,2016-01-22T05:23:08,"['make', 'america', 'great', 'again']",['make america great again'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
"Top searched candidate by state, as seen in the #GOPDebate media filing center. WE WILL MAKE AMERICA GREAT AGAIN! https://t.co/nwKPRmWFNr",False,2016-01-15T19:45:40,"['top', 'searched', 'candidate', 'by', 'state', 'as', 'seen', 'in', 'the', 'media', 'filing', 'center', 'we', 'will', 'make', 'america', 'great', 'again']",['make america great again'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
Thank you Michael Harrison @Talkersmagazine for your kind words - greatly appreciated!,False,2016-01-12T01:46:13,"['thank', 'you', 'michael', 'harrison', 'for', 'your', 'kind', 'words', 'greatly', 'appreciated']",['maga'],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1
"Remember, get TIME magazine! I am on the cover. Take it out in 4 years and read it again! Just watch...",False,2016-01-10T20:15:30,"['remember', 'get', 'time', 'magazine', 'i', 'am', 'on', 'the', 'cover', 'take', 'it', 'out', 'in', '4', 'years', 'and', 'read', 'it', 'again', 'just', 'watch']",['maga'],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1
"In the just out @FoxNews Poll, I easily beat Hillary Clinton - and I havn't even focused on her yet. On our way: MAKE AMERICA GREAT AGAIN!",False,2016-01-10T18:28:54,"['in', 'the', 'just', 'out', 'poll', 'i', 'easily', 'beat', 'hillary', 'clinton', 'and', 'i', 'havnt', 'even', 'focused', 'on', 'her', 'yet', 'on', 'our', 'way', 'make', 'america', 'great', 'again']",['make america great again'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
(1/2) Time Magazine has me on the cover this week. David Von Drehle has written one of the best stories I have ever had.,False,2016-01-09T17:56:06,"['12', 'time', 'magazine', 'has', 'me', 'on', 'the', 'cover', 'this', 'week', 'david', 'von', 'drehle', 'has', 'written', 'one', 'of', 'the', 'best', 'stories', 'i', 'have', 'ever', 'had']",['maga'],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1
"""@hofmannken: DonaldTrump, wish I could attend one of your rallies, none are close enough. Make America Great Again for my Kids.Thank you",False,2016-01-08T03:12:06,"['donaldtrump', 'wish', 'i', 'could', 'attend', 'one', 'of', 'your', 'rallies', 'none', 'are', 'close', 'enough', 'make', 'america', 'great', 'again', 'for', 'my', 'kidsthank', 'you']",['make america great again'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
We could only get a small fraction of this 25k crowd in. The movement to Make America Great Again is unbelievable! https://t.co/NHPdGm57YJ,False,2016-01-08T02:23:07,"['we', 'could', 'only', 'get', 'a', 'small', 'fraction', 'of', 'this', '25k', 'crowd', 'in', 'the', 'movement', 'to', 'make', 'america', 'great', 'again', 'is', 'unbelievable']",['make america great again'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
"I will be in beautiful Burlington, Vermont, tonight for a rally. Will be great fun. MAKE AMERICA GREAT AGAIN!",False,2016-01-07T13:17:40,"['i', 'will', 'be', 'in', 'beautiful', 'burlington', 'vermont', 'tonight', 'for', 'a', 'rally', 'will', 'be', 'great', 'fun', 'make', 'america', 'great', 'again']",['make america great again'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
"""@marybnall01: @realDonaldTrump watched lowell mass speech. Awesome. Great crowd. Make America Great Again!!!!!!""",False,2016-01-05T03:44:17,"['watched', 'lowell', 'mass', 'speech', 'awesome', 'great', 'crowd', 'make', 'america', 'great', 'again']",['make america great again'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
